Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2024-11-27,281.04,127.5,130.62,,34.64,41.04,-9.09,-27.05,-1.15,-7.23,-4.18,1.38,2.84,0.5,1.86,-1.053
2024-11-28,281.04,127.5,130.62,,32.85,40.81,-9.09,-27.05,0.0,-7.72,-2.87,0.84,3.18,0.46,2.43,-0.661
2024-11-29,287.08,128.22,131.7,,37.71,37.86,-7.14,-27.05,2.15,-2.61,4.14,1.06,5.73,1.13,6.21,1.465
2024-12-02,287.87,128.53,132.97,,18.98,37.31,-6.88,-27.05,0.27,1.92,2.39,1.0,5.56,1.83,6.38,0.936
2024-12-03,291.25,128.59,133.5,,19.79,37.47,-5.79,-27.05,1.18,2.44,3.09,0.47,5.9,1.6,7.16,1.155
2024-12-04,301.39,129.37,135.24,,22.67,38.11,-2.51,-27.05,3.48,7.24,3.74,1.46,5.25,3.54,7.03,1.338
2024-12-05,301.24,129.13,135.01,,22.87,35.41,-2.56,-27.05,-0.05,7.19,-0.37,1.27,2.46,3.36,3.78,0.042
2024-12-06,295.8,129.45,136.1,,30.68,34.96,-4.32,-27.05,-1.81,3.04,-4.32,0.96,1.96,3.34,3.06,-1.348
2024-12-09,288.26,128.65,135.25,,38.26,35.85,-6.76,-27.05,-2.55,0.14,-5.97,0.09,0.96,1.71,2.33,-1.886
2024-12-10,280.49,128.27,134.92,,40.86,36.55,-9.27,-27.05,-2.69,-3.69,-7.01,-0.25,0.56,1.06,2.01,-2.208
2024-12-11,289.3,129.32,137.3,,38.67,37.59,-6.42,-27.05,3.14,-4.01,-6.05,-0.04,1.67,1.52,3.91,-1.81
2024-12-12,285.21,128.62,136.39,,38.23,37.61,-7.74,-27.05,-1.41,-5.32,-6.1,-0.39,1.1,1.03,3.5,-1.826
2024-12-13,278.79,128.61,136.56,,38.9,38.15,-9.82,-27.05,-2.25,-5.75,-8.52,-0.64,1.71,0.34,4.29,-2.613
2024-12-16,274.12,129.1,138.25,,37.39,37.03,-11.33,-27.05,-1.68,-4.91,-7.02,0.35,3.47,2.22,8.0,-2.18
2024-12-17,270.78,128.6,137.81,,34.48,37.01,-12.41,-27.05,-1.22,-3.46,-6.96,0.26,2.66,2.14,7.01,-2.159
2024-12-18,267.7,124.81,132.9,,7.12,31.84,-13.41,-27.05,-1.14,-7.47,-12.31,-3.48,-0.76,-3.21,2.13,-4.781
2024-12-19,271.38,124.7,132.76,,22.05,32.56,-12.22,-27.05,1.37,-4.85,-10.42,-3.04,-0.85,-2.66,2.14,-3.889
2024-12-20,279.73,126.06,134.13,52.18,32.63,34.7,-9.52,-27.05,3.08,0.34,-8.15,-1.99,-0.3,-1.78,3.16,-2.77
2024-12-23,290.05,126.98,135.45,52.25,36.41,35.82,-6.18,-27.05,3.69,5.81,-1.6,-1.65,0.08,-2.03,4.01,-0.37
2024-12-24,291.19,128.38,137.27,52.25,31.21,32.54,-5.81,-27.05,0.39,7.54,3.09,-0.17,0.88,-0.39,5.12,1.279
2024-12-26,290.59,128.33,137.2,52.22,26.68,32.51,-6.01,-27.05,-0.21,8.55,2.21,2.82,0.27,3.24,4.41,0.959
2024-12-27,284.52,126.91,135.15,51.94,37.98,33.13,-7.97,-27.05,-2.09,4.84,1.24,1.77,-0.47,1.8,3.47,0.604
2024-12-30,285.52,125.55,133.54,51.92,33.08,33.14,-7.64,-27.05,0.35,2.07,1.6,-0.4,-1.53,-0.44,2.24,0.73
