Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Daily,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Daily,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly
2023-10-13,12.898583,32.841587,47.458751,10.925411,8.780593,10.367213,-12.59017,-19.968605,0.69782,1.846558,-3.421087,-0.501886,0.453956,-3.948375,-1.230194,-0.165065,-3.682078
2023-10-16,13.113041,34.24896,49.226752,10.933318,8.737248,10.332452,-12.424129,-19.968605,0.189956,0.908637,-2.767466,1.059437,0.883008,-1.672977,1.19898,0.640058,-0.919699
2023-10-17,12.837698,34.235771,48.85027,10.909468,8.676442,10.231456,-12.637309,-19.968605,-0.243423,0.385481,-3.099466,-0.009825,0.352384,-1.75493,-0.252289,-0.195131,-1.185922
2023-10-18,12.049683,32.437036,46.436658,11.067578,8.745389,10.168807,-13.247416,-19.968605,-0.698361,-1.09497,-3.510508,-1.339982,-1.416899,-2.879811,-1.621503,-2.530643,-2.57366
2023-10-19,11.240662,31.313592,45.027535,11.232215,8.813549,10.172481,-13.873787,-19.968605,-0.72202,-0.776028,-3.991397,-0.848285,-1.64054,-2.788617,-0.962275,-2.867281,-2.007512
2023-10-20,10.87604,29.660974,42.801778,10.335886,8.819752,10.103772,-14.156089,-19.968605,-0.327777,-1.801625,-2.905542,-1.258528,-2.397183,-2.407052,-1.534714,-3.1718,-1.722142
2023-10-23,10.780501,29.442421,43.18145,10.306342,8.811623,10.063687,-14.230059,-19.968605,-0.086168,-2.07775,-3.076364,-0.168557,-3.625177,-2.346049,0.265873,-4.104907,-1.364232
2023-10-24,11.598727,30.382923,44.518202,10.708662,8.954434,10.028706,-13.596561,-19.968605,0.738602,-1.095725,-1.960794,0.726579,-2.888773,-2.021776,0.933607,-2.919011,-0.881061
2023-10-25,10.514783,28.51328,41.013542,10.668376,8.848873,10.074274,-14.435787,-19.968605,-0.971288,-1.368651,-1.922732,-1.433963,-2.982754,-1.982285,-2.425065,-3.722573,-1.741022
2023-10-26,10.733939,26.992644,38.532188,10.600831,8.764771,9.95093,-14.266109,-19.968605,0.198305,-0.448326,-1.215472,-1.183252,-3.317721,-3.188469,-1.759656,-4.519954,-3.7245
2023-10-27,10.319169,26.383044,39.053508,10.62173,8.751819,9.956894,-14.587238,-19.968605,-0.374565,-0.495113,-1.758135,-0.480028,-2.539221,-4.257814,0.376317,-2.608924,-4.176351
2023-10-30,10.635014,27.900907,40.664459,10.677441,8.718535,9.960107,-14.3427,-19.968605,0.286301,-0.122644,-1.21823,1.201002,-1.169661,-2.785854,1.158511,-1.716286,-3.154493
2023-10-31,10.946301,28.72906,41.343721,10.143767,8.664147,9.926146,-14.101691,-19.968605,0.281364,-0.579882,0.078726,0.647496,-1.248745,-2.146295,0.482895,-2.166998,-3.340688
2023-11-01,11.891544,30.081487,43.655919,9.836734,8.767598,9.945629,-13.369853,-19.968605,0.851982,1.243388,1.946857,1.0506,1.235818,0.278712,1.635869,1.893936,0.161007
2023-11-02,13.560987,32.534637,46.215486,10.831832,9.301693,10.052472,-12.077314,-19.968605,1.49202,2.537102,2.807181,1.885856,4.304926,1.353592,1.781734,5.435327,0.590925
2023-11-03,14.543294,33.779631,48.240189,11.09845,9.466946,9.992456,-11.31678,-19.968605,0.865003,3.77667,3.715905,0.939373,5.724327,2.423369,1.384739,6.443749,2.097904
2023-11-06,14.074759,34.014146,48.685626,11.249487,9.494964,9.988246,-11.679535,-19.968605,-0.409046,3.081323,2.917443,0.175299,4.698624,1.417178,0.300483,5.585721,0.798444
2023-11-07,14.28793,34.394762,50.017319,10.664216,9.500398,9.954231,-11.514491,-19.968605,0.18687,2.986829,1.976435,0.284012,4.33514,1.070805,0.895644,5.99847,1.30023
2023-11-08,14.360303,34.529817,50.133351,10.643084,9.479137,9.953846,-11.458458,-19.968605,0.063325,2.198171,1.760028,0.100492,3.385031,0.650497,0.077345,4.439946,0.794675
2023-11-09,13.293477,33.4423,48.714991,10.880745,9.647613,9.96843,-12.284429,-19.968605,-0.932863,-0.226712,0.045074,-0.808384,0.690792,-0.587187,-0.944733,1.713478,-0.864066
2023-11-10,13.891328,35.526194,51.757824,10.328826,9.716434,9.942877,-11.821554,-19.968605,0.527701,-0.564014,1.613737,1.561644,1.313063,1.5991,2.046083,2.374823,1.807654
2023-11-13,13.793832,35.412916,51.4238,10.089114,9.618602,9.065327,-11.897038,-19.968605,-0.085604,-0.240573,0.830313,-0.083584,1.05418,2.017402,-0.220103,1.854236,2.817744
2023-11-14,16.170097,37.995919,55.01633,12.33801,10.441755,9.297557,-10.057255,-19.968605,2.08822,1.660778,2.728576,1.907502,2.67767,2.865467,2.3725,3.331092,3.991264
2023-11-15,15.893426,38.216301,55.120374,12.336016,10.411155,9.279182,-10.271463,-19.968605,-0.238161,1.359292,2.733839,0.159701,2.736879,3.034993,0.067119,3.320866,4.310672
2023-11-16,16.432124,38.380837,55.22849,12.005281,10.444392,9.252498,-9.854385,-19.968605,0.464822,2.756978,3.897022,0.119043,3.664306,4.494018,0.069698,4.335297,6.001873
2023-11-17,16.617407,38.558248,55.358388,11.545164,10.442113,9.253535,-9.710932,-19.968605,0.159134,2.388411,4.778176,0.128205,2.230867,5.470507,0.083682,2.372895,7.047829
2023-11-20,17.043729,39.582232,57.107689,11.373523,10.463847,9.237266,-9.38086,-19.968605,0.365573,2.839588,5.471526,0.739028,3.053478,7.468063,1.125978,3.718976,9.708521
2023-11-21,17.160951,39.300146,56.177772,11.320144,10.226402,9.235103,-9.290103,-19.968605,0.100153,0.851521,5.657847,-0.202093,0.943884,7.434527,-0.591898,0.754579,8.85075
2023-11-22,17.416487,39.865862,56.902349,11.191187,10.145739,9.236385,-9.092258,-19.968605,0.218107,1.307789,5.137352,0.406113,1.190295,7.114061,0.463943,1.151403,8.381086
2023-11-24,17.346329,39.949344,56.737254,10.357742,10.130341,9.20147,-9.146577,-19.968605,-0.059752,0.783214,6.048888,0.059687,1.13094,8.607711,-0.105221,0.976484,10.70093
2023-11-27,17.804971,39.675861,56.629138,10.358198,10.132345,9.18318,-8.791481,-19.968605,0.390845,1.014926,6.241428,-0.195416,0.807319,9.595547,-0.068979,0.823823,12.391607
2023-11-28,18.268587,39.81276,57.077218,10.068219,9.96164,9.190198,-8.432535,-19.968605,0.393545,1.042898,7.009537,0.098012,0.166303,10.173587,0.286077,-0.016078,12.301367
2023-11-29,18.614592,39.680462,56.821289,10.067871,9.974134,9.144109,-8.164646,-19.968605,0.292559,1.235304,7.015795,-0.094625,0.273772,8.87796,-0.162932,0.412888,10.979923
2023-11-30,18.634523,40.209023,56.466363,10.126867,9.968147,9.143006,-8.149215,-19.968605,0.016803,1.034,6.751234,0.378407,0.246066,8.608872,-0.226325,-0.27738,10.270704
2023-12-01,20.066445,41.032575,57.333157,10.431298,10.239451,9.034099,-7.040573,-19.968605,1.207003,2.300755,7.106255,0.587374,0.773753,8.145646,0.553981,0.381822,9.188815
2023-12-04,19.427026,40.269799,56.018402,9.956988,10.153646,9.016411,-7.535632,-19.968605,-0.532554,1.377356,5.081682,-0.540851,0.428318,5.718939,-0.83565,-0.384849,6.57143
2023-12-05,19.608063,40.190004,56.506952,9.697859,10.133425,9.016983,-7.395468,-19.968605,0.151587,1.135398,4.368266,-0.056887,0.273419,4.722679,0.313136,-0.35779,5.499828
2023-12-06,19.856833,39.642393,55.591879,9.435171,10.134489,8.902674,-7.202862,-19.968605,0.207988,1.050827,4.985299,-0.39062,-0.022577,4.15676,-0.584685,-0.779543,4.614659
2023-12-07,20.099324,40.75509,57.717663,9.43428,10.138296,8.899534,-7.015117,-19.968605,0.202317,1.236341,5.000747,0.796819,0.395835,4.669567,1.366256,0.813038,5.085271
2023-12-08,19.765628,41.331552,58.421338,9.586728,10.156676,8.888293,-7.273476,-19.968605,-0.27785,-0.248512,4.659572,0.40955,0.218011,4.978625,0.446161,0.705218,5.454087
2023-12-11,19.813655,41.886207,58.735019,8.657503,10.149044,8.883338,-7.236292,-19.968605,0.040101,0.324143,5.632536,0.392449,1.151311,6.179459,0.198004,1.738873,6.596825
2023-12-12,20.048894,42.538793,59.844875,8.608321,10.15294,8.85364,-7.054162,-19.968605,0.196337,0.368893,5.301173,0.459936,1.668134,5.07775,0.699187,2.124924,5.249929
2023-12-13,22.474794,44.484544,62.050719,10.459498,10.869825,9.056714,-5.175949,-19.968605,2.02076,2.181666,7.407538,1.365068,3.423822,6.526402,1.379991,4.0896,6.850023
2023-12-14,23.491009,44.867003,62.354272,8.5655,10.916306,9.047055,-4.389162,-19.968605,0.829734,2.809082,6.149052,0.264706,2.891709,4.883606,0.18732,2.910664,4.664843
2023-12-15,22.896872,44.855957,62.930155,8.793578,10.977381,9.059685,-4.849163,-19.968605,-0.481118,2.605815,5.906095,-0.007625,2.474534,4.71628,0.354707,2.81921,4.952432
2023-12-18,22.948127,45.511915,63.9298,8.804427,10.951357,8.971727,-4.809479,-19.968605,0.041706,2.60742,5.482978,0.452834,2.534919,5.050072,0.613542,3.234747,5.496276
2023-12-19,23.633954,46.365547,65.012159,8.854431,10.96879,8.948679,-4.278489,-19.968605,0.557818,2.968901,5.881663,0.586641,2.661624,5.508508,0.660258,3.195818,6.072852
2023-12-20,22.779274,44.216276,62.534436,9.461909,10.652663,8.938133,-4.940211,-19.968605,-0.691299,0.256841,4.824791,-1.468427,-0.17187,3.301053,-1.50154,0.314287,3.445334
2023-12-21,23.412138,45.701916,64.579374,9.499529,10.682096,8.950213,-4.450227,-19.968605,0.515449,-0.057444,5.240086,1.030147,0.59357,4.533293,1.258157,1.385125,5.295389
2023-12-22,23.600427,45.943789,64.899425,9.504971,10.633517,8.923239,-4.304446,-19.968605,0.15257,0.576243,5.17455,0.166006,0.767201,4.293186,0.194466,1.224883,5.025911
2023-12-26,24.129209,46.561378,65.796905,9.457032,10.39196,8.900799,-3.895046,-19.968605,0.427815,0.962353,5.662117,0.423169,0.737536,4.656667,0.544259,1.1556,5.675392
2023-12-27,24.771701,46.771028,66.06757,9.487648,10.327844,8.912897,-3.397607,-19.968605,0.5176,0.922134,5.788871,0.143046,0.293941,4.995129,0.163251,0.658593,5.907622
2023-12-28,24.626726,46.825359,66.023136,9.571791,10.343882,8.904949,-3.509852,-19.968605,-0.116192,1.497241,5.279134,0.037017,1.799385,4.934135,-0.026757,2.133376,5.594788
2023-12-29,24.147512,46.410361,65.101575,9.819263,10.36881,8.877271,-3.880876,-19.968605,-0.38452,0.597273,4.602055,-0.282648,0.486591,4.746112,-0.55508,0.320139,5.20264
2024-01-02,23.972557,45.581593,62.402455,9.875258,10.108296,8.813613,-4.016331,-19.968605,-0.140925,0.303778,4.444327,-0.566058,-0.245473,3.801647,-1.634824,-1.509151,3.794141
2024-01-03,23.323002,44.414565,60.491689,9.489844,9.91791,8.822493,-4.519239,-19.968605,-0.523951,-0.647988,2.713374,-0.801631,-1.470274,2.412641,-1.176562,-3.229972,2.063598
2024-01-04,22.906081,43.919457,59.590804,9.341721,9.930724,8.826393,-4.842033,-19.968605,-0.338072,-1.50366,2.907855,-0.342838,-1.956158,2.610654,-0.561328,-3.954551,2.33792
2024-01-05,22.756141,44.182209,59.742258,9.384854,9.938845,8.781187,-4.958121,-19.968605,-0.121995,-1.509463,2.634273,0.182569,-1.810606,2.850109,0.094902,-3.832892,2.119686
2024-01-08,23.651827,46.217287,63.258454,9.613852,9.992505,8.75311,-4.264651,-19.968605,0.729647,-0.395297,3.155932,1.411463,-0.116496,4.652193,2.201168,-1.076645,4.905539
2024-01-09,23.367754,46.001193,63.411777,9.700498,9.83425,8.576952,-4.48459,-19.968605,-0.229736,-0.484108,2.723878,-0.14779,0.301772,3.707584,0.093914,0.652094,3.633198
2024-01-10,23.442494,46.828431,64.642948,9.591571,9.832627,8.576424,-4.426724,-19.968605,0.060583,0.100426,3.062311,0.566597,1.670001,3.864631,0.753416,2.582073,3.940453
2024-01-11,23.387154,46.729901,64.648888,9.607865,9.755522,8.576629,-4.46957,-19.968605,-0.044831,0.393667,2.977379,-0.067106,1.945733,3.405076,0.003608,3.147008,3.746056
2024-01-12,23.7069,46.840092,64.677147,9.614819,9.459274,8.518641,-4.222012,-19.968605,0.259141,0.774803,3.040183,0.075098,1.838262,3.020238,0.017163,3.06927,3.064031
2024-01-16,22.717786,46.292182,64.364679,7.386798,9.585189,8.528692,-4.987817,-19.968605,-0.799562,-0.754406,0.21986,-0.373134,0.053665,1.282036,-0.189746,0.678356,1.494295
2024-01-17,21.885992,45.470473,63.388792,7.121315,9.720853,8.557495,-5.631819,-19.968605,-0.677811,-1.202481,-1.287685,-0.56169,-0.360235,0.45564,-0.593733,-0.009291,0.713243
2024-01-18,22.059031,46.751379,65.588815,6.984294,9.692731,8.554006,-5.497847,-19.968605,0.141968,-1.121096,-0.664599,0.880526,-0.046306,1.343791,1.346496,0.583788,1.705031
2024-01-19,22.70758,48.558402,68.396932,7.249991,9.578686,8.558373,-4.995719,-19.968605,0.531341,-0.544924,-0.174964,1.23135,1.25215,2.122307,1.695837,2.276018,2.787326
2024-01-22,22.963359,48.884388,68.939379,7.003043,9.415303,8.556585,-4.797686,-19.968605,0.208446,-0.595619,-0.524337,0.219433,1.396485,1.755099,0.322124,2.580979,2.449192
2024-01-23,22.877163,49.319335,69.661431,6.575894,9.374964,8.548439,-4.864422,-19.968605,-0.070099,0.133845,0.096864,0.292137,2.061757,3.515663,0.427403,3.198128,4.378135
2024-01-24,22.269408,49.440572,70.277119,6.517851,9.454684,8.557944,-5.334966,-19.968605,-0.494603,0.317052,-0.913188,0.081193,2.704639,2.566709,0.362892,4.154752,3.48287
2024-01-25,23.04004,50.226684,70.591456,6.897893,9.430119,8.575512,-4.738317,-19.968605,0.630274,0.805358,-0.435485,0.526037,2.35015,2.92674,0.184603,2.99286,3.473007
2024-01-26,22.959481,50.128768,69.985005,6.702614,9.159848,8.575965,-4.800688,-19.968605,-0.065474,0.208544,-0.928773,-0.065179,1.053621,2.438392,-0.355499,0.941523,2.573249
2024-01-29,23.852028,51.263257,71.884214,6.95662,9.226736,8.602759,-4.109649,-19.968605,0.725887,0.725984,-0.720487,0.755677,1.589866,3.051024,1.11728,1.73668,3.527279
2024-01-30,23.912011,51.172401,70.584861,6.955579,9.162048,8.602446,-4.063208,-19.968605,0.048431,0.844514,-0.555863,-0.060065,1.237663,2.953942,-0.755947,0.55333,2.798089
2024-01-31,23.403528,48.737657,66.7806,6.972892,9.236761,8.580461,-4.456893,-19.968605,-0.410358,0.928759,-0.581702,-1.610574,-0.454104,1.626015,-2.230128,-2.03969,1.12304
2024-02-01,24.946217,50.595939,68.954222,8.238459,9.481979,8.610884,-3.262492,-19.968605,1.250118,1.548603,0.809341,1.249369,0.269228,3.441441,1.303282,-0.921011,4.061147
2024-02-02,24.242769,52.204973,71.894224,8.27309,9.503083,8.584534,-3.807124,-19.968605,-0.563,1.051077,0.770291,1.068445,1.402851,5.311517,1.740117,1.174605,6.977827
2024-02-05,23.095637,51.719997,71.550297,8.836326,9.362127,8.631004,-4.695272,-19.968605,-0.923299,-0.598109,0.185064,-0.318634,0.32854,5.335722,-0.200081,-0.142756,7.339074
2024-02-06,23.81334,52.070532,71.674803,9.039999,9.288821,8.536572,-4.139602,-19.968605,0.583046,-0.063495,0.890105,0.231041,0.619646,5.384194,0.072577,0.685768,7.316749
2024-02-07,23.990025,53.323815,73.29861,8.70002,9.225148,8.523931,-4.002807,-19.968605,0.142703,0.489566,0.303161,0.824146,3.054367,4.796877,0.945862,3.861758,6.061443
2024-02-08,23.92025,53.411299,73.706326,8.659335,9.232303,8.520328,-4.056829,-19.968605,-0.056275,-0.816826,0.476622,0.057058,1.862056,5.001726,0.235268,2.793744,6.202797
2024-02-09,24.068206,54.292239,75.872473,8.664972,9.231334,8.51187,-3.942277,-19.968605,0.119396,-0.13443,0.535435,0.574234,1.367846,5.009363,1.247017,2.300643,6.696397
2024-02-12,24.190006,54.145823,75.343334,8.664508,8.975105,8.467874,-3.847975,-19.968605,0.098172,0.887041,0.678439,-0.094895,1.591584,4.981573,-0.300865,2.199858,6.391924
2024-02-13,22.446931,52.037994,72.187326,9.937005,9.460529,8.588693,-5.197522,-19.968605,-1.403555,-1.099559,-0.984257,-1.367426,-0.006883,3.53905,-1.799902,0.32738,4.57486
2024-02-14,23.196897,53.494482,74.426069,9.792193,9.502759,8.590285,-4.616873,-19.968605,0.612483,-0.629779,0.427788,0.957976,0.126948,4.87016,1.300179,0.681696,6.064784
2024-02-15,24.174044,54.388011,74.943211,9.796507,8.739181,8.621045,-3.860334,-19.968605,0.793159,0.219654,1.898757,0.582125,0.652015,6.013975,0.296482,0.742911,6.954999
2024-02-16,23.783797,53.646413,73.507699,9.893268,8.752726,8.626808,-4.162476,-19.968605,-0.314274,-0.214016,1.442515,-0.480347,-0.402567,4.653102,-0.820559,-1.324665,4.787944
2024-02-20,23.668507,52.723717,71.914352,9.760931,8.730888,8.584246,-4.251737,-19.968605,-0.093138,-0.405326,0.818036,-0.600532,-0.908203,2.821219,-0.918315,-1.942115,2.173792
