Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2022-04-07,91.23,93.82,87.78,,42.61,36.12,-8.35,-26.01,0.69,-5.16,6.23,-1.0,2.01,-2.55,2.08,2.184
2022-04-08,88.68,93.57,86.6,,38.36,37.05,-10.91,-26.01,-2.8,-8.97,1.16,-1.27,0.56,-3.86,-1.32,0.552
2022-04-09,89.71,93.57,86.6,,41.57,37.13,-9.87,-26.01,1.17,-8.24,1.4,-2.06,0.56,-5.65,-1.32,0.627
2022-04-10,88.51,93.57,86.6,,41.23,36.55,-11.08,-26.01,-1.34,-7.35,2.33,-0.81,0.56,-3.47,-1.32,0.93
2022-04-11,82.88,91.99,84.71,,48.28,42.93,-16.74,-26.01,-6.36,-8.53,-3.79,-1.53,-1.09,-3.43,-3.08,-0.872
2022-04-12,84.15,91.68,84.45,,51.23,41.74,-15.46,-26.01,1.53,-7.76,-5.27,-2.28,-2.53,-3.78,-5.23,-1.353
2022-04-13,86.33,92.7,86.17,,56.99,42.58,-13.27,-26.01,2.59,-2.65,-4.02,-0.93,-0.22,-0.49,-2.0,-0.951
2022-04-14,83.75,91.58,84.33,,57.04,42.52,-15.86,-26.01,-2.99,-6.65,-9.16,-2.13,-2.82,-2.63,-5.92,-2.499
2022-04-15,85.04,91.58,84.33,,60.54,42.84,-14.56,-26.01,1.55,-3.92,-8.56,-2.13,-3.31,-2.63,-5.77,-2.294
2022-04-16,84.77,91.58,84.33,,34.94,42.76,-14.83,-26.01,-0.32,2.28,-9.16,-0.45,-3.31,-0.45,-5.77,-2.484
2022-04-17,83.29,91.58,84.33,,36.41,37.7,-16.32,-26.01,-1.75,-1.02,-15.17,-0.11,-3.31,-0.15,-5.77,-5.034
2022-04-18,85.61,91.56,84.21,,37.4,39.39,-13.99,-26.01,2.79,-0.83,-13.37,-1.23,-4.02,-2.28,-7.12,-4.167
2022-04-19,87.03,93.03,86.02,,28.64,39.94,-12.56,-26.01,1.66,3.92,-12.56,1.58,-3.66,2.01,-6.84,-3.828
2022-04-20,86.76,92.97,84.97,,28.56,39.94,-12.83,-26.01,-0.31,2.02,-12.09,1.52,-3.11,0.76,-6.85,-3.665
2022-04-21,84.99,91.6,83.21,,33.56,39.15,-14.62,-26.01,-2.05,0.25,-11.0,0.02,-3.02,-1.32,-7.35,-3.374
2022-04-22,83.34,89.06,81.09,,34.23,38.62,-16.28,-26.01,-1.94,0.06,-14.13,-2.75,-6.03,-3.83,-9.97,-4.531
2022-04-23,82.8,89.06,81.09,,23.89,38.61,-16.81,-26.01,-0.64,-3.28,-13.91,-2.73,-6.03,-3.7,-9.97,-4.452
2022-04-24,82.77,89.06,81.09,,14.86,38.04,-16.85,-26.01,-0.04,-4.9,-15.03,-4.27,-6.03,-5.73,-9.97,-4.936
2022-04-25,84.84,89.57,82.14,,29.39,39.52,-14.76,-26.01,2.51,-2.21,-13.22,-3.66,-6.25,-3.33,-10.51,-4.101
2022-04-26,79.93,87.05,78.89,,48.26,43.05,-19.69,-26.01,-5.79,-5.95,-16.33,-4.97,-7.73,-5.19,-12.06,-4.739
2022-04-27,82.29,87.23,78.88,,55.36,41.88,-17.33,-26.01,2.95,-1.26,-9.18,-2.06,-6.63,-2.73,-10.08,-2.549
2022-04-28,83.41,89.39,81.3,,56.18,42.17,-16.21,-26.01,1.36,0.73,-8.57,0.37,-4.73,0.25,-7.38,-2.341
2022-04-29,80.97,86.14,77.91,,60.52,42.26,-18.66,-26.01,-2.93,-2.18,-8.7,-3.27,-7.94,-3.93,-10.04,-2.373
2022-04-30,79.09,86.14,77.91,,55.5,42.36,-20.54,-26.01,-2.32,-6.78,-11.84,-3.82,-7.94,-5.15,-10.04,-3.356
2022-05-01,80.67,86.14,77.91,,42.18,43.16,-18.95,-26.01,2.0,0.92,-8.86,-1.04,-7.94,-1.25,-10.04,-2.364
2022-05-02,80.8,86.63,79.18,,34.78,37.34,-18.83,-26.01,0.16,-1.81,-2.51,-0.68,-5.83,0.38,-6.53,-0.637
2022-05-03,79.16,87.05,79.35,,32.56,37.42,-20.47,-26.01,-2.02,-5.09,-5.92,-2.61,-5.05,-2.39,-6.04,-1.776
2022-05-04,83.25,89.65,81.89,,49.14,40.79,-16.36,-26.01,5.16,2.82,-3.57,4.07,-3.29,5.11,-4.97,-0.873
2022-05-05,76.7,86.46,77.8,,77.49,47.95,-22.94,-26.01,-7.87,-3.02,-8.41,0.36,-5.59,-0.14,-7.74,-1.963
2022-05-06,75.58,85.96,76.71,,74.24,47.57,-24.07,-26.01,-1.46,-6.31,-11.13,-0.21,-6.13,-1.54,-9.04,-2.738
2022-05-07,74.45,85.96,76.71,,73.25,47.68,-25.21,-26.01,-1.5,-7.86,-12.18,-0.77,-6.13,-3.12,-9.04,-3.027
2022-05-08,71.42,85.96,76.71,,75.5,49.05,-28.24,-28.24,-4.06,-9.78,-14.25,-1.25,-6.13,-3.34,-9.04,-3.509
2022-05-09,63.53,83.21,73.41,,66.55,59.09,-36.17,-36.17,-11.05,-23.68,-25.79,-7.18,-9.12,-10.35,-12.82,-5.723
2022-05-10,65.06,83.41,74.14,,79.19,59.62,-34.64,-36.17,2.4,-15.18,-25.25,-3.52,-10.33,-4.71,-13.82,-5.523
2022-05-11,60.68,82.04,71.78,,80.98,62.35,-39.04,-39.04,-6.73,-19.71,-30.06,-4.56,-11.76,-6.43,-15.53,-6.517
2022-05-12,60.91,81.94,71.82,,85.87,62.7,-38.8,-39.04,0.38,-18.18,-28.33,-4.69,-10.55,-6.37,-13.69,-6.014
2022-05-13,61.41,83.89,74.56,,91.74,63.18,-38.31,-39.04,0.81,-14.02,-26.31,-2.41,-5.8,-2.8,-8.06,-5.446
2022-05-14,63.12,83.89,74.56,,61.26,64.78,-36.58,-39.04,2.79,-0.65,-23.77,0.82,-5.8,1.56,-8.06,-4.676
2022-05-15,65.65,83.89,74.56,,66.18,67.16,-34.05,-39.04,4.0,0.91,-20.68,0.57,-5.8,0.57,-8.06,-3.788
2022-05-16,62.62,83.56,73.66,,52.38,66.99,-37.09,-39.04,-4.61,3.2,-26.19,1.85,-6.71,2.63,-10.32,-5.072
2022-05-17,63.8,85.25,75.69,,52.93,65.84,-35.9,-39.04,1.89,4.74,-20.18,4.04,-2.07,5.4,-4.05,-3.762
2022-05-18,60.23,81.8,72.12,,70.78,66.08,-39.49,-39.49,-5.61,-1.92,-26.81,-2.49,-6.22,-3.28,-8.57,-5.302
2022-05-19,63.57,81.32,71.93,,80.44,69.77,-36.13,-39.49,5.55,0.71,-23.78,-3.06,-9.02,-3.53,-11.52,-4.3
2022-05-20,61.23,81.34,71.72,,76.21,70.05,-38.48,-39.49,-3.67,-6.72,-24.37,-3.05,-5.58,-3.82,-7.95,-4.411
2022-05-21,61.72,81.34,71.72,,70.85,70.27,-37.99,-39.49,0.79,-1.44,-21.96,-2.66,-5.58,-2.64,-7.95,-3.866
2022-05-22,63.59,81.34,71.72,,73.4,70.92,-36.11,-39.49,3.03,-0.34,-21.17,-4.59,-5.58,-5.26,-7.95,-3.656
